,metascore,name,userscore,name_new
224,89,Astro Bot: Rescue Mission,9.0,astrobot rescuemission
225,89,Dead Cells,7.6,deadcells
226,89,Owlboy,6.7,owlboy
227,89,Okami HD,8.7,okamihd
228,88,Forza Horizon 4,7.6,forzahorizon4
229,88,The Banner Saga 3,7.8,thebannersaga3
230,88,Injustice 2: Legendary Edition,7.3,injustice2 legendaryedition
231,88,Call of Duty: Black Ops 4,4.7,callofduty blackops4
232,88,Pillars of Eternity II: Deadfire,7.7,pillarsofeternityii deadfire
233,88,Hyper Light Drifter,8.0,hyperlightdrifter
234,88,Monster Hunter: World,5.4,monsterhunter world
235,88,Ikaruga,7.8,ikaruga
236,88,Celeste,7.2,celeste
237,88,Assassin's Creed Odyssey,5.0,assassin screedodyssey
238,96,Batman: Arkham City,8.7,batman arkhamcity
239,88,Dead Cells,7.5,deadcells
240,88,Hellblade: Senua's Sacrifice,7.2,hellblade senua ssacrifice
241,87,Dragon Ball FighterZ,8.8,dragonballfighterz
242,87,Subnautica,8.3,subnautica
243,87,Street Fighter V: Arcade Edition,7.0,streetfighterv arcadeedition
244,87,Dragon Ball FighterZ,8.1,dragonballfighterz
245,87,Assassin's Creed Odyssey,5.2,assassin screedodyssey
246,87,Marvel's Spider-Man,8.8,marvel sspider man
247,87,Velocity 2X,6.8,velocity2x
248,87,Owlboy,7.5,owlboy
249,96,The Elder Scrolls V: Skyrim,8.5,theelderscrollsv skyrim
250,95,Portal 2,9.0,portal2
251,95,Portal 2,8.7,portal2
252,95,Portal 2,8.5,portal2
253,94,Batman: Arkham City,8.7,batman arkhamcity
254,94,The Elder Scrolls V: Skyrim,8.2,theelderscrollsv skyrim
255,94,The Legend of Zelda: Ocarina of Time 3D,9.0,thelegendofzelda ocarinaoftime3d
256,94,Mass Effect 2,8.5,masseffect2
257,93,The Legend of Zelda: Skyward Sword,8.1,thelegendofzelda skywardsword
258,92,The Elder Scrolls V: Skyrim,6.5,theelderscrollsv skyrim
259,87,Iconoclasts,8.2,iconoclasts
260,87,Sonic Mania Plus,7.9,sonicmaniaplus
261,87,Iconoclasts,7.4,iconoclasts
262,86,Thronebreaker: The Witcher Tales,9.0,thronebreaker thewitchertales
263,86,The Messenger,7.9,themessenger
264,86,Crypt of the NecroDancer: Nintendo Switch Edition,7.5,cryptofthenecrodancer nintendoswitchedition
265,86,Donkey Kong Country: Tropical Freeze,8.6,donkeykongcountry tropicalfreeze
266,86,Shantae and the Pirate's Curse,7.8,shantaeandthepirate scurse
267,86,Dragon Quest XI: Echoes of an Elusive Age,8.8,dragonquestxi echoesofanelusiveage
268,86,Unavowed,8.0,unavowed
